Name,Details,Files,Action,"Fixed Version","Created by","Last edited by","Created time",Priority,"How many user experienced"
"Enrollment Cancellation Action Fails in Firefox but Works in Chrome","The enrollment cancellation functionality from Tutor LMS → Enrollments does not work in Firefox. When an administrator selects an enrollment and applies the ""Cancel"" bulk action, the enrollment status does not change and the enrollment is not moved to the Cancelled list.
The exact same action works correctly in Google Chrome.",,Done,,U07B4GNP7RN,U018QTESVGC,"6/15/26, 11:38 AM","Hight Priority",0
"Manual Payment Gateway Description Disappears When Underline Formatting Is Applied","The Manual Payment gateway can be created and saved successfully when using plain text formatting. However, when specific text formatting (particularly underline formatting) is applied to the description, the payment method disappears after saving and refreshing the page.

https://www.loom.com/share/25bc9fc43bba44e9900bf0e54539055c",,Done,,U07B4GNP7RN,U018QTESVGC,"6/15/26, 4:21 PM",High,0
"Unauthorized course access after checkout","When a student adds multiple courses to cart, proceeds to checkout, then returns to cart page and removes some courses and then completes payment, our system incorrectly grants access to all originally added courses. This occurs when using WooCommerce with block based cart and checkout pages. As a result, students gain access to additional courses they had previously removed, leading to unauthorized course access and potential revenue loss.

Video link: https://youtu.be/K3zBEXd6ScY",,Done,,U07A949N6VC,U018QTESVGC,"6/19/26, 4:47 PM","Hight Priority",0
"Tutor LMS + WooCommerce: intermittent missing (and occasional duplicate) tutor_earnings rows for paid course orders","Product: Tutor LMS 3.9.9 + Tutor LMS Pro 3.9.9, WooCommerce monetization (monetize_by = wc), HPOS enabled, WooCommerce block/Store-API checkout, Stripe gateway with order auto-complete.
Summary: Tutor inserts duplicate commission rows into {prefix}tutor_earnings for a single order line. The de-duplication guard in Tutor\Classes\WooCommerce::add_earning_data() is a non-atomic SELECT-then-INSERT with no database-level uniqueness, so it loses the race during slow checkouts and writes two identical earnings rows for the same (order_id, course_id, user_id).
Where: tutor/classes/WooCommerce.php, method add_earning_data() (hooked on woocommerce_new_order_item):
$exist_count = (int) $wpdb->get_var( $wpdb->prepare(
""SELECT COUNT(earning_id) FROM {$wpdb->prefix}tutor_earnings
WHERE course_id=%d AND order_id=%d AND user_id=%d"",
$course_id, $order_id, $user_id
) );
if ( $exist_count > 0 ) { return; }
// ...
$wpdb->insert( $wpdb->prefix . 'tutor_earnings', $earning_data );
woocommerce_new_order_item can fire more than once for the same line item during a single checkout (Store API re-creates line items when the order/totals are recalculated — e.g. on coupon application, calculate_totals(), or order-from-request updates). Because the existence check and the insert are not atomic and there is no UNIQUE constraint, when two of these fire within one slow checkout request chain (here: Stripe payment-intent → auto-complete → Xero invoice, all synchronous) the second SELECT reads before the first insert's order transaction has committed, returns 0, and a second row is inserted.
Concrete reproduction (production):
Order #17160, course 14298, instructor user 449.
Two identical rows: both order_status = completed, instructor_amount = 32.50, process_by = woocommerce, created 51 seconds apart (19:21:22 and 19:22:13), during a checkout whose Stripe/auto-complete/Xero notes span that exact window.
Net effect: the instructor's native Tutor earnings balance is over-credited by £32.50 (£213.19 vs the correct £180.69). No coupon was on this order — coupon recalculation is one trigger for the duplicate line-item event, but not the only one.
Impact: Instructor earnings and withdrawal totals computed by Tutor (SUM(instructor_amount) over tutor_earnings) are inflated. Frequency is low (race-dependent) but the financial effect is real and silent.
Requested fix: Make the guard atomic. Either (a) add a UNIQUE KEY (order_id, course_id, user_id) to the tutor_earnings schema and use INSERT ... ON DUPLICATE KEY / INSERT IGNORE, or (b) wrap the existence-check + insert in a row/named lock (GET_LOCK) keyed to order_id+course_id+user_id. A DB-level unique constraint is the robust option and is backward-compatible (one earning per order line per instructor; subscription renewals already use distinct order_ids).",,Request,,U07ACRUL5N1,U07ACRUL5N1,"6/24/26, 7:10 PM",High,0
"Facebook Social Media login does not work.","While trying to login with Facebook user get email is invalid error and can’t log in.

The root cause is in *addons/social-login/includes/Authentication/Authentication.php line 68*.
The *`verify_facebook_token()`* function calls the Graph API without requesting the email field:
`$response = file_get_contents( ""https://graph.facebook.com/me?access_token=$token"" );`

It should be:

`$response = file_get_contents( ""https://graph.facebook.com/me?fields=id,name,email&access_token=$token"" );`

Without fields=email, the verification object has no email to compare against, causing all Facebook logins to fail with “Invalid email”.",,Done,,U029V6VAVSP,U018QTESVGC,"6/25/26, 2:01 PM","Hight Priority",0
"License activation failed","There's currently an issue with license activation.

The license verification completes successfully, but it doesn't connect afterward. Before the connection process can finish, it gets redirected to a blank screen of Tutor LMS website.",F0BG23JC80H,Done,,U07AFKF2R19,U018QTESVGC,"7/8/26, 9:27 PM","Hight Priority",0
"Elementor Addon compatibility 4.0","The first issue is that the login window is fixed on the homepage, preventing visitors from interacting with the rest of the site. Users can only click on the Login or Register options, while all other page elements become inaccessible.
The second issue is with the Elementor Addons Course List widget. The *Number of Course Rows* setting is no longer respected, and the widget always displays a single row regardless of the configured value.
*Before update:* https://prnt.sc/lU5ErcIAmJXr
*After update:* https://prnt.sc/uXKzdrIVupFg
*Site backup:* https://drive.google.com/file/d/148gPVPuemy3Svj9Jf8x-iiZGmM-CIbNI/view?usp=drive_link",,Accepted,,U07ACRUL5N1,U018QTESVGC,"7/13/26, 3:32 PM",High,0
"Duplicate user created on Stripe, for Subcription base course manual payment.","In Subscription base courses when any user tried to renew subscription for course manually from their dashboard. Duplicate user creates on Stripe with the same user which should be identical for subscription renew.",,Rejected,,U029V6VAVSP,U018QTESVGC,"7/14/26, 4:15 PM","Hight Priority",0
,,,Done,,U018QTESVGC,U018QTESVGC,"7/15/26, 12:55 PM",,0
,,,Done,,U018QTESVGC,U018QTESVGC,"7/15/26, 12:57 PM",,0
"Bulk Email is not working in Tutor LMS 4.0.0.","In *Tutor LMS → Settings → Emails → Compose Manual Email*, bulk emails are not being sent to any recipient group (All Students, All Instructors, All Admins, or course-enrolled students). No emails are actually generated or dispatched. This functionality works correctly in *Tutor LMS 3.9.13* but is not working in *Tutor LMS 4.0.0*.",,Accepted,,U07AFKF2R19,U018QTESVGC,"7/15/26, 1:42 PM",High,0
"Ordering Quiz Questions Reveal Correct Answer Through Predefined Numbering","In Ordering-type quiz questions, the answer items are displayed with numbering that corresponds to the correct answer sequence. As a result, students can infer the correct order before attempting the question, which compromises the integrity of the assessment.",F0BHKS1TT6G,Done,,U07B4GNP7RN,U018QTESVGC,"7/15/26, 3:38 PM","Hight Priority",0
"Course access remains active after cancelling the course bundle enrolment.","If any user manually enrolled any student to any course bundle, and cancelled that course bundle manually from the admin panel, the bundle remove from the student dashboard but the courses those are linked with that bundle those courses access remain active.

Video explanation: https://drive.google.com/file/d/1kwzzO0PMwJl_QYQ6l4d-3xzELLJJamUQ/view

ticket link: https://tutorlms.com/account/tickets/?nocache=1774843964#/30837?back_to=P2Fzc2lnbm1lbnRfdHlwZT1taW5l",,Done,,U029V6VAVSP,U018QTESVGC,"3/30/26, 4:11 PM","Hight Priority",0
"Gift course not functioning correctly if the Payment system is WooCommerce.","Please check the video to get complete scenerio.

https://drive.google.com/file/d/10zlkNr6Bh7vHPc2h5Dz7BN-YRaiXvkcc/view?usp=sharing

Ticket Link: https://tutorlms.com/account/tickets/?nocache=1774843964#/31088?back_to=P2Fzc2lnbm1lbnRfdHlwZT1taW5l",,Done,,U029V6VAVSP,U018QTESVGC,"3/30/26, 3:07 PM",High,0
"(Fatarl Error) for Tutor 4.0.1 who are using WooCommerce Subcription","After updating to latest Tutor, we found several user who are using WooCommerce and WooCommerce Subscription faccing this fatal error issue when:

*WooCommerce Subscriptions is creating renewal orders, or trying to renew the order.*

error;

`0 /wordpress/core/7.0.1/wp-includes/class-wp-hook.php(341): WCS_Cart_Renewal->set_renewal_order_cart_hash_on_block_checkout(false, Object(Automattic\WooCommerce\Admin\Overrides\Order), 'checkout-draft') 1 /wordpress/core/7.0.1/wp-includes/plugin.php(205): WP_Hook->apply_filters(false, Array) 2 /wordpress/plugins/woocommerce/10.9.4/includes/abstracts/abstract-wc-order.php(2504): apply_filters('woocommerce_ord...', false, Object(Automattic\WooCommerce\Admin\Overrides\Order), 'checkout-draft') 3 /srv/htdocs/wp-content/plugins/tutor/classes/WooCommerce.php(821): WC_Abstract_Order->has_status('checkout-draft') 4 /wordpress/core/7.0.1/wp-includes/class-wp-hook.php(341): TUTOR\WooCommerce->course_placing_order_from_customer(14541, Object(WC_Order_Item_Product), 38757) 5 /wordpress/core/7.0.1/wp-includes/class-wp-hook.php(365): WP_Hook->apply_filters(14541, Array) 6 /wordpress/core/7.0.1/wp-includes/plugin.php(522): WP_Hook->do_action(Array) 7 /wordpress/plugins/woocommerce/10.9.4/includes/wc-order-item-functions.php(39): do_action('woocommerce_new...', 14541, Object(WC_Order_Item_Product), 38757) 8 /srv/htdocs/wp-content/plugins/woocommerce-subscriptions/includes/core/wcs-order-functions.php(253): wc_add_order_item(38757, Array) 9 /srv/htdocs/wp-content/plugins/woocommerce-subscriptions/includes/core/wcs-renewal-functions.php(29): wcs_create_order_from_subscription(Object(WC_Subscription), 'renewal_order') 10 /srv/htdocs/wp-content/plugins/woocommerce-subscriptions/includes/core/class-wc-subscriptions-manager.php(145): wcs_create_renewal_order(Object(WC_Subscription)) 11 /srv/htdocs/wp-content/plugins/woocommerce-subscriptions/includes/core/class-wc-subscriptions-manager.php(119): WC_Subscriptions_Manager::process_renewal(32770, 'active', 'Subscription re...') 12 /wordpress/core/7.0.1/wp-includes/class-wp-hook.php(341): WC_Subscriptions_Manager::prepare_renewal(32770) 13 /wordpress/core/7.0.1/wp-includes/class-wp-hook.php(365): WP_Hook->apply_filters(NULL, Array) 14 /wordpress/core/7.0.1/wp-includes/plugin.php(570): WP_Hook->do_action(Array) 15 /wordpress/plugins/woocommerce/10.9.4/packages/action-scheduler/classes/actions/ActionScheduler_Action.php(86): do_action_ref_array('woocommerce_sch...', Array) 16 /wordpress/plugins/woocommerce/10.9.4/packages/action-scheduler/classes/abstracts/ActionScheduler_Abstract_QueueRunner.php(103): ActionScheduler_Action->execute() 17 /wordpress/plugins/woocommerce/10.9.4/packages/action-scheduler/classes/ActionScheduler_QueueRunner.php(188): ActionScheduler_Abstract_QueueRunner->process_action(3710877, 'WP Cron') 18 /wordpress/plugins/woocommerce/10.9.4/packages/action-scheduler/classes/ActionScheduler_QueueRunner.php(158): ActionScheduler_QueueRunner->do_batch(25, 'WP Cron') 19 /wordpress/core/7.0.1/wp-includes/class-wp-hook.php(341): ActionScheduler_QueueRunner->run('WP Cron') 20 /wordpress/core/7.0.1/wp-includes/class-wp-hook.php(365): WP_Hook->apply_filters('', Array) 21 /wordpress/core/7.0.1/wp-includes/plugin.php(570): WP_Hook->do_action(Array) 22 /wordpress/core/7.0.1/wp-cron.php(191): do_action_ref_array('action_schedule...', Array) 23 {main}`",,Accepted,,U029V6VAVSP,U018QTESVGC,"7/16/26, 12:54 PM","Hight Priority",6
"Woocommerce Subscription Again","https://ollyo.slack.com/lists/T0TK9810W/F0951PBFR46?record_id=Rec09AP05C8RH

This issue is occurring again to many users and they want a permanent solution.",,Done,,U07B4GNP7RN,U018QTESVGC,"2/23/26, 2:53 PM","Hight Priority",0
"calendar issue","In Tutor v3.9.4, if you create a new lesson and set an unlock date using content drip, it shows correctly on the calendar. However, if you set an unlock date for a pre-existing lesson, it does not appear on the dashboard calendar.",,Done,,U07AFNXBB98,U018QTESVGC,"1/7/26, 12:39 PM",,0
"SEPA Payment problem in Stripe payment.","After payment via direct SEPA the Tutor provide’s message of payment success but in Stripe end they are keeping it as pending and after some hours it’s credit back the amount to the user account.

https://ibb.co.com/cSTzGLNx
https://ibb.co.com/R8v8nks
https://ibb.co.com/TxPtgKNv",,Done,,U029V6VAVSP,U018QTESVGC,"1/9/26, 12:22 PM","Hight Priority",0
"Some text of checkout form is not included in pot file please add them.","In the Tutor native checkout page some text missing translation can you please check and add them.",F0AA0JZ13DG,Accepted,,U029V6VAVSP,U018QTESVGC,"1/21/26, 3:32 PM",High,0
"Custom Extend Timestamp mismatch","Only the last few days of December 2026 can be selected, dates after that goes to next year December instead of the current year.https://drive.google.com/file/d/1B46HP5mr0c6AhFBt0KtpTQTBEz1Qmqfg/view?usp=sharing",,Accepted,,U07ACRUL5N1,U018QTESVGC,"1/23/26, 12:02 PM",Mid,4
"Future Coupons Showing Wrong Status in coupon list","If a coupon is scheduled to start in the future, it wrongly shows as 'Expired' instead of 'Not Active Yet'.

https://snipboard.io/tynudo.jpg

https://snipboard.io/1BLE43.jpg",,Rejected,,U07AFKF2R19,U018QTESVGC,"1/27/26, 2:04 AM",High,0
"Old Failed Stripe Payments Canceling Enrollments","When a student makes multiple payment attempts for the same course in Stripe:
1. *First attempt fails or is incomplete* → Stripe creates a PaymentIntent.
2. *Second attempt succeeds* → Tutor LMS enrolls the student correctly.
3. *Hours later, Stripe auto-cancels the first failed PaymentIntent* → sends `payment_intent.canceled` webhook.
4. *Tutor LMS handles this webhook* → marks the order as cancelled and *overwrites the existing enrollment* for the course/student.
5. *Result:* Student’s enrollment is cancelled even though a successful payment exists.
",,Done,,U07AFKF2R19,U018QTESVGC,"2/2/26, 10:06 PM","Hight Priority",0
"Stripe Subscription Renewals Not Processing Automatically","Subscription renewals are currently not being processed through Stripe. Recurring payments are not triggering automatically, which is preventing subscriptions from renewing as expected.",F0AEPSYCDB6,Done,,U07AFKF2R19,U018QTESVGC,"2/12/26, 4:26 PM","Hight Priority",0
"Unable to search students names in the backend assignment section","Details: https://prnt.sc/vOz3ZpcqgHPY, https://prnt.sc/r7VzmBgf1pEq",,Done,,U07ACRUL5N1,U018QTESVGC,"2/13/26, 3:48 PM",High,0
"REST API - Enrollment - Emails are not sent to users","Whenever any user create new enrollment using rest api the email is not send to the user.",,Rejected,,U029V6VAVSP,U018QTESVGC,"2/16/26, 1:02 PM",High,0
"The “Hide Course Products on Shop Page” setting should be hidden when monetization is set to Native, since it’s not applicable in this mode.","> The “Hide Course Products on Shop Page” setting should be hidden when monetization is set to Native, since it’s not applicable in this mode.
","F0AF4FZMUCD,F0AESFDL0KZ",Accepted,,U02DTFPBMU6,U018QTESVGC,"2/16/26, 3:55 PM",Mid,0
"Course Duplication Bug — Prerequisite Lessons Linked to Original Course","When a course with content drip based on lesson prerequisites is duplicated, the cloned course retains prerequisite links to lessons from the original course. Students cannot complete those prerequisites because they belong to a different course, and these references don’t appear in the prerequisite editor. Currently, the only workaround is manually editing the database to remove old entries and recreate prerequisites. This issue was previously reported and acknowledged but remains unresolved.",,Accepted,,U02E6EEM2KW,U018QTESVGC,"2/18/26, 4:08 PM","Hight Priority",0
"Elementor Addons Translation","Tutor LMS Elementor Addons widget texts are not inheriting translations from Loco Translate.

Client translated the strings via Loco Translate (Tutor LMS / Pro), but texts shown through Elementor Addons widgets remain in the original language on the frontend — even after sync and cache clear.

*Screenshots:*
https://snipboard.io/HfsU8k.jpg

https://snipboard.io/36iyWt.jpg

https://snipboard.io/GJd6zE.jpg",,Accepted,,U07B4GNP7RN,U018QTESVGC,"2/19/26, 3:59 PM",High,0
"Tutor LMS Reports data inconsistency","The enrollment date in Tutor LMS report is different on different sections:

https://prnt.sc/ir8jpiCAFXuo, https://prnt.sc/k77OfaqcTFv5, https://prnt.sc/g2h_Db_Ud2sz",,Accepted,,U07ACRUL5N1,U018QTESVGC,"2/20/26, 11:20 AM",Low,0
"Tutor native subcription issue for auto course enrollment","Student purchased a subcription course and made successfull payment but the subcription and order status still pending this should auto compelte and auto enrolled.","F0AGR8ZFEFL,F0AGP72P1K8,F0AGJSTGX8T",Done,,U029V6VAVSP,U018QTESVGC,"2/24/26, 12:30 PM","Hight Priority",4
"Several Issues on Author Visibility, Order Data, Translation, etc.","A Tutor LMS user, Sergio Kolomiychuk, is preparing tutorials of Tutor LMS and reported some issues.
I’ve listed all those reported issues and suggestions in a document. Here's the doc link: https://docs.google.com/document/d/1CZQX2LhO8CRZ0RrVYU1DMRBM_fHLcbj_o-FgyC5utCQ/edit?usp=sharing",,Request,,U0402FWM7P0,U0402FWM7P0,"3/27/26, 12:54 PM",Mid,0
"New order place email triggered before payment complete.","I have found that, Email for new order trigger and sent to user inbox before the payment complete. But this should be hit after the successfull payment.",,Rejected,,U029V6VAVSP,U018QTESVGC,"2/24/26, 2:05 PM","Hight Priority",0
"Tutor Divi course carousel having issue.","When we try to edit the course carousel in frontend mode nothing appears on the page. But preview page become normal.
https://prnt.sc/PGYNrQpEJonn

video:
https://www.dropbox.com/scl/fi/ywjgjc7q9yhj3a5zoh6ii/Divi-tutor-lms-1.mp4?rlkey=10tt4iz9ovfo0qf2p5cvrfhdy&e=1&dl=0

Tiket link: https://tutorlms.com/account/tickets/?nocache=1774843964#/30440?back_to=P2Fzc2lnbm1lbnRfdHlwZT1taW5l",,Accepted,,U029V6VAVSP,U018QTESVGC,"2/27/26, 1:50 PM",High,0
"We have received subcription course auto enrollment issue with Paypal also.","Some of the user reporting us that they are having subscription course auto enrollment issue with Paypal payment also please recheck the Paypal Payment also.",,Done,,U029V6VAVSP,U018QTESVGC,"2/27/26, 2:36 PM",Low,0
"Tutor LMS Bunnynet Integration","Need to update Tutor LMS Bunnynet Integration to provide compatibility with the latest WordPress as well as fix reported security vulnerabilities https://prnt.sc/T5FpAuSpTmc5, https://patchstack.com/database/wordpress/plugin/tutor-lms-bunnynet-integration/vuln[…]tegration-plugin-1-0-0-cross-site-scripting-xss-vulnerability",,Accepted,,U07ACRUL5N1,U018QTESVGC,"3/2/26, 12:09 PM",Mid,0
"Video Cropped at Top in Tutor LMS Player During Full-Screen Landscape Mode on Android","The video in the Tutor LMS player gets cropped from the top when viewed in full-screen landscape mode on Android devices.

screenshot: https://snipboard.io/OSFykw.jpg",,Accepted,,U07AFKF2R19,U018QTESVGC,"3/5/26, 7:35 PM",Mid,0
"Tutor LMS Pro is not showing update notice","Some users report that they are not getting Tutor LMS Pro plugin update notification even though the license is active and properly connected.
Only the free version receives update notifications.",F0AKRFWG8Q5,Done,,U0402FWM7P0,U018QTESVGC,"3/11/26, 11:57 AM",High,0
"Unable to save Embedded videos via the Tutor LMS course builder's description field","Unable to save embedded videos via the Tutor LMS course builder editor while the video code works fine in legacy mode.

When in legacy mode: https://prnt.sc/_E_l-LNARG-K, https://prnt.sc/HY6rtCjTejaF,
when in course builder: https://prnt.sc/nI1vkgAti8C1, https://prnt.sc/vbFPU3yZdTMJ",,Accepted,,U07ACRUL5N1,U018QTESVGC,"3/12/26, 11:55 AM",High,0
"Enrollment API only fetch 10 Student data by default.","3. Get Enrolled Users
```URL: https://yourdomain.com/wp-json/tutor/v1//enrollments?course_id={course_id}```
By default this API only fetch 10 student list, because it is statically set to 10 `/wp-content/plugins/tutor-pro/rest-api/Controllers/EnrollmentController.php` line 156
`$enrollments = tutor_utils()->get_enrolments( 'approved', 0, 10, '', $course_id );`

Please make set it flexible pagination option.",,Request,,U029V6VAVSP,U029V6VAVSP,"3/12/26, 2:44 PM",High,0
